epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.263,0,93.3611,0,0,0,0,0,0,103.045,0,0.000654971,0.000654971,0.000654971
2,873.314,0,63.3651,0,0,0,0,0,0,53.6532,0,0.00105995,0.00105995,0.00105995
3,1230.32,0,48.0531,0,0,0,0,0,0,655.428,0,0.00120094,0.00120094,0.00120094
4,1568.19,0,37.4086,0,0,0,0,0,0,39.2338,0,0.000812,0.000812,0.000812
5,1894.53,0,30.9617,0,0,0,0,0,0,34.3894,0,0.000416,0.000416,0.000416
