epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.536,1.86161,2.42889,1.57659,0,0,0,0,0,167.205,0,0.000654971,0.000654971,0.000654971
2,877.361,1.77456,1.97398,1.45271,0,0,0,0,0,213.215,0,0.000667427,0.000667427,0.000667427
