timestamp,event,details,image_path
2025-11-13T13:27:45.390302,alarm,Fire (heuristic),detections\alarm_20251113_132745_378955.jpg
2025-11-13T13:27:45.732741,alarm,Fire (heuristic),detections\alarm_20251113_132745_714836.jpg
2025-11-13T13:27:46.104146,alarm,Fire (heuristic),detections\alarm_20251113_132746_086831.jpg
2025-11-13T13:27:46.461894,alarm,Fire (heuristic),detections\alarm_20251113_132746_447559.jpg
2025-11-13T13:27:46.817688,alarm,Fire (heuristic),detections\alarm_20251113_132746_791486.jpg
2025-11-13T13:27:47.160618,alarm,Fire (heuristic),detections\alarm_20251113_132747_144577.jpg
2025-11-13T13:27:47.386212,alarm,Fire (heuristic),detections\alarm_20251113_132747_375215.jpg
2025-11-13T13:27:47.682137,alarm,Fire (heuristic),detections\alarm_20251113_132747_668656.jpg
2025-11-13T13:27:47.963356,alarm,Fire (heuristic),detections\alarm_20251113_132747_944025.jpg
2025-11-13T13:27:48.579929,alarm,Fire (heuristic),detections\alarm_20251113_132748_557463.jpg
2025-11-13T13:27:49.072738,alarm,Fire (heuristic),detections\alarm_20251113_132749_047869.jpg
2025-11-13T13:27:49.471826,alarm,Fire (heuristic),detections\alarm_20251113_132749_453028.jpg
2025-11-13T13:27:49.824588,alarm,Fire (heuristic),detections\alarm_20251113_132749_807740.jpg
2025-11-13T13:27:49.841296,record_end,,detections\clip_20251113_132741.mp4
2025-11-13T13:27:50.199759,alarm,Fire (heuristic),detections\alarm_20251113_132750_178309.jpg
2025-11-13T13:27:50.213135,record_start,Fire (heuristic),detections\clip_20251113_132750.mp4
2025-11-13T13:27:50.564500,alarm,Fire (heuristic),detections\alarm_20251113_132750_548411.jpg
2025-11-13T13:27:51.375687,alarm,Fire (heuristic),detections\alarm_20251113_132751_357866.jpg
2025-11-13T13:27:52.151242,alarm,Fire (heuristic),detections\alarm_20251113_132752_127575.jpg
2025-11-13T13:27:52.723332,alarm,Fire (heuristic),detections\alarm_20251113_132752_706856.jpg
2025-11-13T13:27:53.221530,alarm,Fire (heuristic),detections\alarm_20251113_132753_201416.jpg
2025-11-13T13:27:53.640904,alarm,Fire (heuristic),detections\alarm_20251113_132753_622651.jpg
2025-11-13T13:27:54.001706,alarm,Fire (heuristic),detections\alarm_20251113_132753_983183.jpg
2025-11-13T13:27:54.437430,alarm,Fire (heuristic),detections\alarm_20251113_132754_418798.jpg
2025-11-13T13:27:55.067441,alarm,Fire (heuristic),detections\alarm_20251113_132755_035655.jpg
2025-11-13T13:27:55.606180,alarm,Fire (heuristic),detections\alarm_20251113_132755_589467.jpg
2025-11-13T13:27:56.083837,alarm,Fire (heuristic),detections\alarm_20251113_132756_056234.jpg
2025-11-13T13:27:56.502475,alarm,Fire (heuristic),detections\alarm_20251113_132756_483901.jpg
2025-11-13T13:27:56.849717,alarm,Fire (heuristic),detections\alarm_20251113_132756_831594.jpg
2025-11-13T13:27:57.249119,alarm,Fire (heuristic),detections\alarm_20251113_132757_223133.jpg
2025-11-13T13:27:57.734714,alarm,Fire (heuristic),detections\alarm_20251113_132757_717796.jpg
2025-11-13T13:27:58.084628,alarm,Fire (heuristic),detections\alarm_20251113_132758_065624.jpg
2025-11-13T13:27:58.419728,alarm,Fire (heuristic),detections\alarm_20251113_132758_406982.jpg
2025-11-13T13:27:58.442892,record_end,,detections\clip_20251113_132750.mp4
2025-11-13T13:27:58.796944,alarm,Fire (heuristic),detections\alarm_20251113_132758_780707.jpg
2025-11-13T13:27:58.803848,record_start,Fire (heuristic),detections\clip_20251113_132758.mp4
2025-11-13T13:27:59.166968,alarm,Fire (heuristic),detections\alarm_20251113_132759_151787.jpg
2025-11-13T13:27:59.696681,alarm,Fire (heuristic),detections\alarm_20251113_132759_630737.jpg
2025-11-13T13:28:00.418701,alarm,Fire (heuristic),detections\alarm_20251113_132800_400753.jpg
2025-11-13T13:28:00.774752,alarm,Fire (heuristic),detections\alarm_20251113_132800_751744.jpg
2025-11-13T13:28:01.186341,alarm,Fire (heuristic),detections\alarm_20251113_132801_170644.jpg
2025-11-13T13:28:01.632109,alarm,Fire (heuristic),detections\alarm_20251113_132801_614789.jpg
2025-11-13T13:28:02.047272,alarm,Fire (heuristic),detections\alarm_20251113_132802_031861.jpg
2025-11-13T13:28:02.522694,alarm,Fire (heuristic),detections\alarm_20251113_132802_488057.jpg
2025-11-13T13:28:03.014622,alarm,Fire (heuristic),detections\alarm_20251113_132803_001219.jpg
2025-11-13T13:28:03.348908,alarm,Fire (heuristic),detections\alarm_20251113_132803_328764.jpg
2025-11-13T13:28:03.667406,alarm,Fire (heuristic),detections\alarm_20251113_132803_653346.jpg
2025-11-13T13:28:03.991259,alarm,Fire (heuristic),detections\alarm_20251113_132803_979836.jpg
2025-11-13T13:28:04.282710,alarm,Fire (heuristic),detections\alarm_20251113_132804_270665.jpg
2025-11-13T13:28:04.557723,alarm,Fire (heuristic),detections\alarm_20251113_132804_544061.jpg
2025-11-13T13:28:04.896596,alarm,Fire (heuristic),detections\alarm_20251113_132804_885151.jpg
2025-11-13T13:28:05.238228,alarm,Fire (heuristic),detections\alarm_20251113_132805_225950.jpg
2025-11-13T13:28:05.511545,alarm,Fire (heuristic),detections\alarm_20251113_132805_498898.jpg
2025-11-13T13:28:05.775297,alarm,Fire (heuristic),detections\alarm_20251113_132805_761092.jpg
2025-11-13T13:28:06.039734,alarm,Fire (heuristic),detections\alarm_20251113_132806_027260.jpg
2025-11-13T13:28:06.295044,alarm,Fire (heuristic),detections\alarm_20251113_132806_282225.jpg
