timestamp,event,details,image_path
2025-11-13T13:26:30.397926,alarm,Fire (heuristic),detections\alarm_20251113_132630_388752.jpg
2025-11-13T13:26:30.596520,alarm,Fire (heuristic),detections\alarm_20251113_132630_586629.jpg
2025-11-13T13:26:30.810895,alarm,Fire (heuristic),detections\alarm_20251113_132630_800118.jpg
2025-11-13T13:26:31.024904,alarm,Fire (heuristic),detections\alarm_20251113_132631_015696.jpg
2025-11-13T13:26:31.192783,alarm,Fire (heuristic),detections\alarm_20251113_132631_183044.jpg
2025-11-13T13:26:31.366746,alarm,Fire (heuristic),detections\alarm_20251113_132631_356427.jpg
2025-11-13T13:26:31.539693,alarm,Fire (heuristic),detections\alarm_20251113_132631_530687.jpg
2025-11-13T13:26:31.720272,alarm,Fire (heuristic),detections\alarm_20251113_132631_710779.jpg
2025-11-13T13:26:31.906701,alarm,Fire (heuristic),detections\alarm_20251113_132631_896011.jpg
2025-11-13T13:26:32.101342,alarm,Fire (heuristic),detections\alarm_20251113_132632_093370.jpg
