timestamp,cam,event,class,conf,box,track_id,image,clip
2025-11-13T17:21:20.043649,0,detect,person,0.92,"[121, 150, 521, 479]",0,,
2025-11-13T17:21:20.203598,0,detect,person,0.919,"[119, 150, 521, 479]",0,,
2025-11-13T17:21:20.333554,0,detect,person,0.926,"[119, 149, 522, 479]",0,,
2025-11-13T17:21:20.450716,0,detect,person,0.927,"[119, 149, 522, 479]",0,,
2025-11-13T17:21:20.717200,0,detect,person,0.919,"[119, 148, 522, 479]",0,,
2025-11-13T17:21:20.858613,0,detect,person,0.911,"[120, 149, 522, 479]",0,,
2025-11-13T17:21:20.994362,0,detect,person,0.918,"[118, 149, 523, 479]",0,,
2025-11-13T17:21:21.113115,0,detect,person,0.916,"[118, 149, 524, 479]",0,,
2025-11-13T17:21:21.221203,0,detect,person,0.911,"[119, 148, 523, 479]",0,,
2025-11-13T17:21:21.409925,0,detect,person,0.925,"[126, 147, 522, 479]",0,,
2025-11-13T17:21:21.657416,0,detect,person,0.918,"[130, 147, 522, 479]",0,,
2025-11-13T17:21:21.786613,0,detect,person,0.927,"[133, 151, 522, 479]",0,,
2025-11-13T17:21:21.907056,0,detect,person,0.921,"[136, 153, 522, 479]",0,,
2025-11-13T17:21:22.024646,0,detect,person,0.912,"[138, 154, 523, 479]",0,,
2025-11-13T17:21:22.137104,0,detect,person,0.922,"[139, 153, 523, 479]",0,,
2025-11-13T17:21:22.506274,0,detect,person,0.933,"[142, 156, 523, 479]",0,,
2025-11-13T17:21:22.606775,0,detect,person,0.934,"[145, 156, 522, 479]",0,,
2025-11-13T17:21:22.775218,0,detect,person,0.946,"[145, 155, 523, 479]",0,,
2025-11-13T17:21:22.893241,0,detect,person,0.924,"[146, 156, 521, 479]",0,,
2025-11-13T17:21:23.030366,0,detect,person,0.926,"[146, 156, 521, 479]",0,,
2025-11-13T17:21:23.127892,0,detect,person,0.929,"[145, 156, 521, 479]",0,,
2025-11-13T17:21:23.231712,0,detect,person,0.904,"[147, 156, 521, 479]",0,,
2025-11-13T17:21:23.346775,0,detect,person,0.92,"[145, 155, 520, 479]",0,,
2025-11-13T17:21:23.449906,0,detect,person,0.922,"[146, 155, 521, 479]",0,,
2025-11-13T17:21:23.560605,0,detect,person,0.926,"[145, 155, 521, 479]",0,,
2025-11-13T17:21:23.744961,0,detect,person,0.919,"[147, 156, 521, 479]",0,,
2025-11-13T17:21:23.853118,0,detect,person,0.916,"[144, 155, 519, 479]",0,,
2025-11-13T17:21:23.956094,0,detect,person,0.903,"[147, 156, 520, 479]",0,,
2025-11-13T17:21:23.960061,0,detect,cell phone,0.422,"[269, 319, 376, 470]",1,,
2025-11-13T17:21:23.963723,0,detect,cell phone,0.393,"[272, 320, 374, 429]",2,,
2025-11-13T17:21:24.066074,0,detect,person,0.911,"[146, 156, 520, 479]",0,,
2025-11-13T17:21:24.188879,0,detect,person,0.929,"[142, 154, 522, 479]",0,,
2025-11-13T17:21:24.300877,0,detect,person,0.923,"[136, 156, 519, 479]",0,,
2025-11-13T17:21:24.459162,0,detect,person,0.923,"[133, 157, 519, 479]",0,,
2025-11-13T17:21:24.573498,0,detect,person,0.92,"[124, 157, 518, 479]",0,,
2025-11-13T17:21:24.715110,0,detect,person,0.912,"[116, 158, 518, 479]",0,,
2025-11-13T17:21:24.842174,0,detect,person,0.904,"[109, 158, 517, 479]",0,,
2025-11-13T17:21:24.952673,0,detect,person,0.895,"[107, 158, 516, 479]",0,,
2025-11-13T17:21:25.093938,0,detect,person,0.891,"[104, 156, 517, 479]",0,,
2025-11-13T17:21:25.233680,0,detect,person,0.891,"[109, 155, 519, 479]",0,,
2025-11-13T17:21:25.361793,0,detect,person,0.902,"[108, 152, 519, 479]",0,,
2025-11-13T17:21:25.659934,0,detect,person,0.907,"[109, 152, 521, 479]",0,,
2025-11-13T17:21:25.798439,0,detect,person,0.895,"[109, 153, 522, 479]",0,,
2025-11-13T17:21:25.946252,0,detect,person,0.866,"[112, 155, 518, 479]",0,,
2025-11-13T17:21:26.093759,0,detect,person,0.868,"[112, 154, 525, 479]",0,,
2025-11-13T17:21:26.224772,0,detect,person,0.782,"[112, 156, 524, 479]",0,,
2025-11-13T17:21:26.340867,0,detect,person,0.89,"[107, 156, 521, 479]",0,,
2025-11-13T17:21:26.484443,0,detect,person,0.867,"[113, 156, 521, 479]",0,,
2025-11-13T17:21:26.612815,0,detect,person,0.889,"[111, 153, 521, 479]",0,,
2025-11-13T17:21:26.726302,0,detect,person,0.908,"[112, 152, 521, 479]",0,,
2025-11-13T17:21:27.131527,0,detect,person,0.908,"[112, 154, 520, 479]",0,,
2025-11-13T17:21:27.314382,0,detect,person,0.912,"[114, 154, 518, 479]",0,,
2025-11-13T17:21:27.510420,0,detect,person,0.918,"[116, 151, 519, 479]",0,,
2025-11-13T17:21:27.617060,0,detect,person,0.892,"[115, 151, 517, 479]",0,,
2025-11-13T17:21:27.744769,0,detect,person,0.873,"[116, 152, 518, 479]",0,,
2025-11-13T17:21:27.882829,0,detect,person,0.898,"[113, 152, 517, 479]",0,,
2025-11-13T17:21:28.057014,0,detect,person,0.901,"[114, 150, 518, 479]",0,,
2025-11-13T17:21:28.257371,0,detect,person,0.895,"[114, 152, 517, 479]",0,,
2025-11-13T17:21:28.370837,0,detect,person,0.887,"[116, 152, 517, 479]",0,,
2025-11-13T17:21:28.506025,0,detect,person,0.873,"[116, 152, 514, 479]",0,,
2025-11-13T17:21:28.739941,0,detect,person,0.913,"[116, 152, 516, 479]",0,,
2025-11-13T17:21:28.917826,0,detect,person,0.915,"[115, 151, 518, 479]",0,,
2025-11-13T17:21:29.036669,0,detect,person,0.895,"[115, 152, 517, 479]",0,,
2025-11-13T17:21:29.151532,0,detect,person,0.89,"[115, 155, 518, 479]",0,,
2025-11-13T17:21:29.352043,0,detect,person,0.906,"[115, 154, 518, 479]",0,,
2025-11-13T17:21:29.500007,0,detect,person,0.905,"[113, 154, 519, 479]",0,,
2025-11-13T17:21:29.641539,0,detect,person,0.909,"[115, 154, 519, 479]",0,,
2025-11-13T17:21:29.748844,0,detect,person,0.915,"[115, 154, 519, 479]",0,,
2025-11-13T17:21:29.851082,0,detect,person,0.916,"[116, 153, 520, 479]",0,,
2025-11-13T17:21:29.964046,0,detect,person,0.888,"[112, 156, 520, 479]",0,,
2025-11-13T17:21:30.112883,0,detect,person,0.908,"[114, 154, 519, 479]",0,,
2025-11-13T17:21:30.233864,0,detect,person,0.917,"[113, 153, 521, 479]",0,,
2025-11-13T17:21:30.325155,0,detect,person,0.875,"[112, 155, 519, 479]",0,,
2025-11-13T17:21:30.429759,0,detect,person,0.899,"[114, 153, 521, 479]",0,,
